threat_count,resource_package_count,ideal_parallel_ooda_under_deadline_probability,coordination_aware_ooda_under_deadline_probability,coordination_delay_mean_s,coordination_delay_p90_s,adaptive_engagement_success_probability,adaptive_closed_loop_pk,adaptive_wilson_ci95_low,adaptive_wilson_ci95_high,ideal_parallel_adaptive_closed_loop_pk,adaptive_mean_neutralized,adaptive_mean_action_cost,static_engagement_success_probability,static_closed_loop_pk,static_wilson_ci95_low,static_wilson_ci95_high,ideal_parallel_static_closed_loop_pk,static_mean_neutralized,static_mean_action_cost,same_resource_pk_advantage,adaptive_coordination_pk_loss
20,1,0.9863333333333333,0.9863333333333333,0.0,0.0,0.7693333333333333,0.7593333333333333,0.743710682522728,0.7742926879384029,0.7593333333333333,17.314,7.3941,0.304,0.2996666666666667,0.2835383207887608,0.3163074046005198,0.2996666666666667,14.361666666666666,7.799999999999997,0.4596666666666666,0.0
20,2,0.9863333333333333,0.982,0.07324842398480838,0.1099773351154802,1.0,0.982,0.9765893394666278,0.9861778503621579,0.9863333333333333,19.950666666666667,4.746266666666665,0.788,0.7743333333333333,0.7590295539083666,0.7889354510910046,0.778,16.776333333333334,15.59999999999999,0.20766666666666667,0.0043333333333333
20,3,0.9863333333333333,0.98,0.14649684796961676,0.2199546702309604,1.0,0.98,0.9743421221170571,0.9844301831066299,0.9863333333333333,19.993666666666666,4.351133333333332,0.922,0.904,0.892935807959361,0.9140308822705756,0.91,17.662,23.399999999999984,0.07599999999999996,0.006333333333333302
20,4,0.9863333333333333,0.9776666666666667,0.21974527195442514,0.32993200534644057,1.0,0.9776666666666667,0.9717363815193127,0.9823752249984259,0.9863333333333333,19.998,4.125266666666667,0.9666666666666667,0.945,0.9362582736191412,0.9526035510153186,0.9533333333333334,18.194666666666667,31.19999999999998,0.03266666666666673,0.0086666666666666
20,5,0.9863333333333333,0.9736666666666667,0.2929936959392335,0.4399093404619208,1.0,0.9736666666666667,0.9673027531578698,0.9788190841496714,0.9863333333333333,20.0,3.9427333333333334,0.987,0.961,0.9534622466740368,0.9673586548012125,0.9733333333333334,18.609333333333332,39.00000000000001,0.012666666666666715,0.012666666666666604
20,6,0.9863333333333333,0.9703333333333334,0.36624211992404193,0.549886675577401,1.0,0.9703333333333334,0.9636346820614861,0.9758290142375574,0.9863333333333333,20.0,3.848933333333333,0.9953333333333333,0.9656666666666667,0.958532472064013,0.9716098268231333,0.9816666666666667,18.916666666666668,46.80000000000007,0.004666666666666708,0.015999999999999903
25,1,0.9833333333333333,0.9833333333333333,0.0,0.0,0.287,0.283,0.2671663498923683,0.2993886704544231,0.283,17.783333333333335,7.788799999999999,0.011,0.010666666666666666,0.007565902880806795,0.015018997071712215,0.010666666666666666,15.042,7.799999999999997,0.2723333333333333,0.0
25,2,0.9833333333333333,0.9806666666666667,0.07914360538154118,0.1188285336091091,0.9996666666666667,0.9803333333333333,0.9747157214293537,0.984722397895183,0.983,24.874333333333333,6.682033333333331,0.5396666666666666,0.5303333333333333,0.5124469366174276,0.5481421465599026,0.532,19.557333333333332,15.59999999999999,0.44999999999999996,0.002666666666666706
25,3,0.9833333333333333,0.979,0.15828721076308236,0.2376570672182182,1.0,0.979,0.9732234125644496,0.9835514503566881,0.9833333333333333,24.987,5.0679,0.747,0.731,0.714843980534706,0.7465651913541933,0.7336666666666667,20.652,23.399999999999984,0.248,0.0043333333333333
25,4,0.9833333333333333,0.9753333333333334,0.23743081614462355,0.35648560082732733,1.0,0.9753333333333334,0.9691454589040336,0.9803054489077567,0.9833333333333333,24.997666666666667,4.726866666666666,0.8426666666666667,0.82,0.8058457495881891,0.8333357872276023,0.827,21.226,31.19999999999998,0.15533333333333343,0.007999999999999896
